CST_U_1,CST_U_2,CST_U_3,CST_U_4,CST_U_5,CST_U_6,CST_L_1,CST_L_2,CST_L_3,CST_L_4,CST_L_5,CST_L_6,AOA,RE_N,CD,CL
0.17908067,0.18783792,0.17179406,0.18926529,0.14954803,0.20788608,-0.16041601,-0.1352443,-0.11490581,-0.13701878,-0.08375695,-0.14068311,11.418,26772.5126,0.2191957269123395,0.9328309329424901
0.17044352,0.21524706,0.14577144,0.26919071,0.14225196,0.15647037,-0.1217069,-0.12491462,-0.09526706,-0.17401743,-0.01838175,-0.0263674,18.2495,69557.7424,0.4559831689433963,1.3292597941509434
0.14572387,0.27052424,0.14230336,0.3969027,0.17222873,0.50587344,-0.04012429,0.11272247,0.03788778,0.2201395,0.08324465,0.35233393,14.5682,55550.764,0.3281263451837939,1.5102086093372686
0.1661765,0.15535857,0.26092888,0.16472667,0.18451709,0.04285849,-0.16617652,-0.15535856,-0.26092891,-0.16472664,-0.18451712,-0.04285847,11.7101,71650.3403,0.1949299939071229,0.7818223289280726
0.10106225,0.19454007,0.06802617,0.20184711,0.08043921,0.15624248,-0.09883819,-0.0325953,0.01832412,-0.09220371,0.10018253,0.01954849,8.5017,23390.3797,0.09411273015342961,0.6911553824909747
0.15391054,0.33149342,0.03620614,0.39736409,0.09302086,0.2976778,-0.10031562,0.19278019,-0.08951684,0.18889085,0.01106494,0.06175535,18.7986,78054.7837,0.5044721835074124,1.5616936185983825
0.17857487,0.15136268,0.20248002,0.20626905,0.24069541,0.26431988,-0.0420732798,-0.129875061,-0.00958600546,-0.228868185,-0.000201576931,-0.288916829,11.9676,89871.0907,0.19293484166249372,0.8616007732098147
0.21746754,0.27239134,0.2512826,0.26575159,0.24596227,0.22741905,-0.12934944,-0.06316403,-0.0899385,-0.07856362,-0.06473159,-0.08015778,1.982,55010.9416,0.049781933718362946,0.08565147217443994
0.11424438,0.13588769,0.15837733,0.15257308,0.13435143,0.09610516,-0.09088843,-0.07363502,-0.12674655,-0.05502758,-0.08928949,0.05324375,13.0359,34529.1732,0.23728845445991723,1.029057715694392
0.197808,0.21349757,0.12420597,0.17566759,0.13216838,0.16342423,-0.19871856,-0.21141779,-0.12728581,-0.1726126,-0.13419337,-0.16256029,2.6335,35235.5649,0.03375539857754011,0.3265805167379679
